id,"number","description","customer","location",productionPerHour,peopleRequired
2289,"105876D","SHADE D - PERFECTING CONCEALER REBRAND","SSL","494",1200,5
2288,"105876A","SHADE C PERFECTING CONCEALER REBRAND","SSL","494",1200,5
2287,"105877","EVEN TOUCH- SHELL","NMG","495",1980,6
2286,"105876S","SHADE A - PERFECTING CONCEALER REBRAND","SSL","494",1200,5
2285,"105876","SHADE B - PERFECTING CONCEALER REBRAND","SSL","494",1200,5
2284,"105874K","50 WATTS IPF REFILLS REBRAND","SSL","494",1200,5
2283,"105874F","40 WATTS -IPF REFILLS REBRAND","SSL","494",1200,5
2282,"105874J","70 WATTS - IPF REFILLS REBRAND","SSL","494",1200,5
2281,"105874O","80 WATTS-IPF REFILLS REBREAND","SSL","494",1200,5
2280,"105874I","60 WATTS - IPF REFILLS REBRAND","SSL","494",1200,5
2279,"105874R","30 WATTS-IPF REFILLS REBRAND","ssl","494",1200,5
2278,"105874W","10 WAQTTS IPF REFILLS REBRAND","SSL","494",1200,5
2277,"105874","20 WATTS -IPE REFILLS REBRAND","SSL","494",1200,5
2276,"105873L","LILIUM-CORVERTIBLE COLOR REBRAND","SSL","494",1200,5
2275,"105873P","PETUNIA CONVERTIBE COLOR REBRAND","SSL","494",1200,5
1180,"105132","BOXICAT SHIPPING","BLC","495",24,1
2274,"105873C","CAMELLIA CONVERTIBLE COLOR REBRAND","SSL","494",1200,5
2273,"105873","PEONY - CONVERTIBLE COLOR REBRAND","SSL","494",1200,5
2272,"105866C","sad liquid lip color-CARINA","SSL","494",1200,3
2271,"105863C","SAD LIQUID LIP COLOR CHIANTI","SSL","494",1200,3
2270,"105868T","SAD LIQUID LIP COLOR-TESORO","SSL","494",1200,3
2269,"105868","SAD LIQUID LIP COLOR FIORE","SSL","494",1200,3
2268,"105866B","SAD LIQUID LIP COLOR - BELLISSIMA","SSL","494",1200,3
2267,"105863","SAD LIQUID LIP COLOR FIERY","SSL","494",1200,3
2266,"105838","NORDSTROMS ANNIVERSARY SET","SSL","494",1200,5
2265,"105861","CREAM TO PONWER- WARM HONEY","NMG","495",1980,6
2264,"105788S","LIP LINER SHRINK SLEEVE - SPICE","NMG","494",2400,3
2263,"105860a","EASY BROW- NATURAL TAUPE","NMG","495",2800,5
2262,"105859C","APLE CARMEL DROP 6MG","REJ","495",18,1800
2261,"105788A","LIP LINER SHRINK SLEEVE - ALL NATURAL","NMG","494",2400,3
2260,"105637L","Lip Liner Shrink Sleeve- All Natural ","NMG","494",2400,3
1203,"105089W","WHITE MINT POD FILLING","VSI","COOLEY",900,4
2259,"105860","EASYLINER-BLACK","NMG","495",2800,5
2258,"105779","ESPRESSO SMUDGESTICK","SSL","494",1200,4
2257,"105859b","apple carmel drop 3mg","REJ","495",1800,18
2256,"105859a","apple carmel drop 0mg","REJ","495",1800,18
2255,"105852R","MAG METALS REBRAND REPACK","SSL","494",1200,4
2254,"105856G","GEMMA - COLOR BALM LIPSTICK REBRAND","SSL","494",1200,5
2253,"105856E","EVANGELINE-COLOR BALM LIPSTICK REBRAND","SSL","494",1200,5
2252,"105735","EYE TECH PERFECTION-BLACK","NMG","495",2800,5
2251,"105855P","LIP CRAYON REWORK-PEONY KISS","THC","494",1200,5
2250,"105855S","LIP CRAYON REWORK STRAWBERRY KISS","THC","494",1200,5
2249,"105857C","APPLE CARMEL DROP:6MG","REJ","495",1800,18
2248,"105856B","BETSEY-COLOR BALM LIPSTICK REBRAND","SSL","494",1200,5
2247,"105855K","LIP CRAYON REWORK - MELON KISS","THC","494",1200,5
2246,"105856N","NATASHA-COLOR BALM LIPSTICK REBRAND","SSL","494",1200,5
2245,"105857B","APLE CARMEL DROP 3MG","REJ","495",1800,18
2244,"105857A","APLE CARMEL DROP 0MG REJ","REJ","495",1800,18
2243,"105855M","LIP CRAYON REWORK - MARSALA KISS","THC","494",1200,5
2242,"105856","VIVIENE-COLOR BALM LIPSTICK REBRAND","SSL","494",1200,5
2241,"105822P","CREAM TO PONWER- PECAN","NMG","494",1980,6
2240,"105853P","TWIST N SHINE - SWEET PINK","JCC","494",2400,4
2239,"105855","LIP CRAYON REWORK HONEY KISS","THC","494",1200,5
2238,"105836C","FLUFF POP; MARSHMALLOW-6MG","REJ","495",1800,18
2237,"105822C","cream to powder- CARAMEL BROWN","NMG","495",1980,6
2236,"105854O","ONE STEP CORRECTOR REBRAND","SSL","494",1200,5
2235,"105854","ONE STEP ILLUMINATE REBRAND","SSL","494",1200,5
2234,"105853","TWIST N SHINE CANDIED CORAL","JCC","494",2400,4
2233,"105836B","FLUFF POP; MARSHMALLOW-3MG","REJ","495",1800,18
2232,"105836A","FLUFF POP; MARSHMALLOW-0MG","REJ","495",1800,18
2231,"105852G","GILDED GOLD ","SSL","494",1200,5
2230,"105852C","COMEX COPPER -MAG METALS REBRAND","SSL","494",1200,5
2229,"105822s","cream to powder- sand","NMG","495",1980,6
2228,"105833H","30ML SLUSH  LEMON LIME 6MG","DVL","495",2100,5
2227,"105833G","30ML SLUSH LEMON  LIME 3MG","DVL","495",2100,5
2226,"105833F","30ML SLUSH LEMON  LIME 1.5MG","DVL","495",2100,5
2225,"105833E","30ML SLUSH LEMON  LIME 0MG","DVL","495",2100,5
2224,"105833D","30ML SLUSH BERRY 6MG","DVL","495",2100,5
2223,"105833C","30ML SLUSH BERRY 3MG","DVL","495",2100,5
2222,"105833B","30ML SLUSH BERRY 1.5MG","D","495",2100,5
2221,"105833L","30ML SLUSH CHERRY 6MG","DVL","495",2100,5
2220,"105833K","30ML SLUSH CHERRY 3ML","DVL","495",2100,5
2219,"105833J","30ML SLUSH CHERRY 1.5ML","DVL","495",2100,5
2218,"105833I","30ML SLUSH CHERRY 0MG","DVL","495",2100,5
